Weekly U.S. Refiner and Blender Adjusted Net Production of Finished Motor Gasoline
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=WGFRPUS2&f=W
15:06:36 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Week of,Weekly U.S. Refiner and Blender Adjusted Net Production of Finished Motor Gasoline Thousand Barrels per Day
03/28/2003,8004
03/21/2003,7980
03/14/2003,8034
03/7/2003,8008
02/28/2003,7978
02/21/2003,7894
02/14/2003,8102
02/7/2003,8161
01/31/2003,7521
01/24/2003,7972
01/17/2003,8093
01/10/2003,8452
01/3/2003,8599
12/27/2002,8796
12/20/2002,8862
12/13/2002,8657
12/6/2002,8715
11/29/2002,8647
11/22/2002,8654
11/15/2002,8357
11/8/2002,8503
11/1/2002,8427
10/25/2002,8515
10/18/2002,8192
10/11/2002,7992
10/4/2002,8128
09/27/2002,8461
09/20/2002,8482
09/13/2002,8283
09/6/2002,8553
08/30/2002,8382
08/23/2002,8507
08/16/2002,8700
08/9/2002,8656
08/2/2002,8713
07/26/2002,8550
07/19/2002,8540
07/12/2002,8636
07/5/2002,8512
06/28/2002,8528
06/21/2002,8404
06/14/2002,8437
06/7/2002,8386
05/31/2002,8440
05/24/2002,8522
05/17/2002,8545
05/10/2002,8639
05/3/2002,8658
04/26/2002,8497
04/19/2002,8548
04/12/2002,8358
04/5/2002,8229
03/29/2002,8371
03/22/2002,8061
03/15/2002,8092
03/8/2002,7889
03/1/2002,8152
02/22/2002,7950
02/15/2002,7869
02/8/2002,8111
02/1/2002,7937
01/25/2002,8149
01/18/2002,8198
01/11/2002,8238
01/4/2002,8244
12/28/2001,8292
12/21/2001,8147
12/14/2001,8246
12/7/2001,8130
11/30/2001,8535
11/23/2001,8331
11/16/2001,8326
11/9/2001,8302
11/2/2001,8631
10/26/2001,8422
10/19/2001,8429
10/12/2001,8562
10/5/2001,8499
09/28/2001,8455
09/21/2001,8445
09/14/2001,8245
09/7/2001,8263
08/31/2001,8050
08/24/2001,8136
08/17/2001,8425
08/10/2001,8097
08/3/2001,8344
07/27/2001,8266
07/20/2001,8558
07/13/2001,8502
07/6/2001,8508
06/29/2001,8997
06/22/2001,8683
06/15/2001,8517
06/8/2001,8775
06/1/2001,8785
05/25/2001,8567
05/18/2001,8501
05/11/2001,8475
05/4/2001,8599
